ID        AgeSex    FQRS1     FQRS2     FQRS3     FPRP1     FPRP2     FPRP3     FT1       FT2       FT3       MQRS1     MQRS2     MQRS3     MPRP1     MPRP2     MPRP3     MT1       MT2       MT3       C29       C30       C31       C32
         1         20.536337260.571639710.620943140.43602909-0.81765460.375925080.847241940.442021880.29461458 0.1820154 0.72206110.667456480.66475897-0.59055240.457540590.847241940.442021880.29461458         0         1         0         1
         2         4 0.4716485 0.48915030.733675450.87942255-0.3220083 -0.350609 0.49224370.632856190.59765306 0.61603240.49092582 0.61603240.75337136-0.5955564-0.27882640.780855270.505235760.36742601        15        60        15        42
         3         40.452627210.717443130.529531830.69256293-0.65695970.297927070.88723481 0.4613181         00.562233110.769345310.30331786 0.7006571 -0.6379520.319526040.861431330.43071567-0.2691098        15        44        15        89
         4         40.700784010.57446887 0.42295070.66178338-0.7448939-0.08471070.806371050.58055115-0.11280990.833035530.535522840.13880592 0.5204356-0.6736461-0.52473590.851258430.502034460.15271048       855       132       855       -24
         5         20.561044490.662252520.496639390.64036154-0.72746990.246423680.758149880.583238380.291619190.726088660.569069480.38594713  0.555454-0.81627940.15861542  0.981623  0.085302  0.1707040.65175514157.721301-0.3206535136.315476
         6         2-0.16650770.481222120.860639570.52562325-0.69513070.490421690.779371180.62345694-0.06230570.748466090.658058110.08220726 0.6243498-0.7410591 0.24701970.768569370.54254897-0.33903064.7430854686.41123160.5144017480.1733815
         7         20.265228340.80508603 0.53055670.90532472-0.3973108 0.15010410.693774170.620766370.365139040.498648470.84298194-0.20181960.86511802-0.49851040.055301150.870572150.49204078         00.196905524.743085460.400827340.51440174
         8         30.403844220.615867430.676474060.69292945-0.68872930.213309070.818821680.569615080.071201890.503343250.83887207 0.20721780.80856313-0.54184230.229417910.911727270.405212120.0675020286.41123160.1969055280.17338150.40082734
         9         10.58676418 0.64547060.488953480.61162213-0.74902710.254709210.780888320.62467065         00.666666670.66666667-0.33333330.73807605-0.65286730.170317550.773199420.55837179-0.3006387        2886.4112316        2580.1733815
        10         10.706463740.567851230.422438110.47671189-0.82292050.309107710.73819165 0.4921611-0.46135730.779167390.566148970.269023270.50992396-0.82213860.253111890.850879540.52214881-0.05800549289.503429289.503429793.110049793.11004
        11         30.526062740.569867970.631275290.72946061-0.68395680.009500790.697520470.697520470.164104820.75098149 0.52435690.401343550.57742111-0.8163298-0.01380050.861265060.48933696-0.1370103
        12         30.721497880.572577680.389352820.47041646-0.81792860.331211590.780830160.59712307 0.18370710.779822270.62591787-0.01020030.60014699-0.74285820.29662323 0.79544090.60603116         0
        13         1 0.6144305 0.61443050.494924570.37362155-0.77914490.50332903 0.75529170.595072250.274633340.81987927 0.55545370.138813420.43553541 -0.7625620.478338890.812983330.580659510.04350446
        14         30.580742760.752455410.310722880.70811172-0.65521080.26320436 0.7412813 0.54615990.390142790.692290660.716593850.08501113 0.6382301-0.66303130.391218450.928291890.309430630.20622041
        15         30.390214320.710726080.58532148 0.7785687-0.59405240.202317850.387631280.559945190.732259090.618559890.785176030.029702880.78530801-0.6165848-0.05580770.668965840.594658520.44594389
        16         10.744218430.547213550.383009480.59344822-0.8048654-0.00330030.724269570.633760880.271626090.738125410.609720990.288809940.66744505-0.7225488-0.18011220.877464110.303722190.37122712
        17         3 0.59476320.617565620.514654680.70002338-0.71262380.04620154 0.78643710.599228270.149807070.756575920.645564780.10411045 0.6382598-0.7636716 0.09710910.851840410.468522220.23421111
        18         10.55234137 0.70215260.449333660.57793189-0.7110392 0.4005221 0.6648288  0.738732 0.11080480.640561440.713568440.283727210.68216527-0.6984668 0.21632070.773952840.63324324         0
        19         10.862778890.409637450.296327090.39203004-0.91216990.119409150.646173680.50255731 0.57436550.914535440.404315670.012400480.40321212-0.9086273-0.10870330.730901770.46776513 0.4969692
        20         1-0.02740080.316109030.948327090.70875901-0.6628552 0.24142010.741555580.548141080.38682899-0.05210090.130202310.990117590.60327811-0.78600180.135117490.789474790.315729910.52634986
        21         40.285926440.621857510.729067420.57795691-0.71877080.38643805 0.57073790.80865369-0.14260950.637114490.559712730.529912050.62420653-0.77800810.071200740.860757290.48653238  -0.14961
        22         40.108011610.85129152 0.51345520.79894706-0.38172250.464727380.594756830.792975770.132112620.675882680.736390080.030203690.65426699-0.61846330.435244560.807777040.587456030.04890466
        25         40.299321210.712750510.63434495 0.5403587-0.67457330.502954640.834044940.47652567 -0.2780150.291818220.795849690.530533120.66056748-0.56885810.489950050.899491450.417642460.12841306
